date,ticker,name,signal,universe,xs_1m,xs_3m,xs_6m,xs_12m,mae,period,rel5,w_rsi,m_rsi,rv,drawdown,move21,mkt_part,sec_part,spec_part,driver,mkt_gauge,regime,credit_stress
2020-03-18,ORLY,O'Reilly Automotive,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.10844,0.16213,0.19799,0.02500,-0.10192,Out-of-sample 2015+,0.53838,18.00476,39.35091,0.57604,0.34713,-0.29876,-0.24413,-0.03701,-0.01763,Market,98.43915,Panic,True
2013-12-09,OSIS,OSI Systems Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.14194,0.24799,0.18426,0.35426,0.00000,In-sample 2005-14,1.55597,25.77550,41.36528,1.12939,0.38476,-0.42539,0.03548,0.00841,-0.46927,Specific,22.96227,Calm,False
2008-07-25,OSK,Oshkosh Corporation,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.19682,-0.38574,-0.11626,0.66995,-0.67769,In-sample 2005-14,1.22456,24.35687,28.38779,0.80760,0.68420,-0.53529,-0.05177,0.01046,-0.49398,Specific,89.12698,Elevated,False
2020-03-16,OSK,Oshkosh Corporation,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.07919,0.04759,-0.02574,0.49346,-0.16473,Out-of-sample 2015+,0.50660,21.05042,40.18280,0.63875,0.43454,-0.46042,-0.48976,-0.06331,0.09265,Market,99.76190,Panic,True
2008-10-24,OTEX,Open Text Corporation,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.11288,0.38788,0.34542,0.43166,0.00000,In-sample 2005-14,0.83244,33.26333,44.41460,0.77903,0.39559,-0.40804,-0.29672,-0.00114,-0.11017,Market,100.00000,Elevated,False
2020-03-12,OTTR,Otter Tail Corporation,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.06113,-0.17258,-0.35719,-0.36677,-0.20742,Out-of-sample 2015+,0.33640,27.71074,39.06801,0.50526,0.32641,-0.34282,-0.18116,-0.14129,-0.02036,Market,99.89418,Panic,True
2020-06-16,OTTR,Otter Tail Corporation,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.03529,-0.13660,-0.05432,-0.07098,-0.05649,Out-of-sample 2015+,0.17837,41.31396,40.53187,0.36835,0.28490,0.03578,0.11774,-0.00105,-0.08091,Market,87.32804,Elevated,True
2008-08-04,OVV,Ovintiv Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.01230,-0.03484,-0.00656,0.00089,-0.45610,In-sample 2005-14,3.41882,35.93692,53.25632,0.46262,0.30005,-0.27520,-0.00666,-0.17975,-0.08879,Sector,90.63492,Elevated,False
2008-10-31,OVV,Ovintiv Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.04222,0.03248,0.11374,0.07556,-0.30687,In-sample 2005-14,2.64701,37.90202,41.91690,1.19847,0.46894,-0.07800,-0.10631,0.01971,0.00860,Market,99.04762,Elevated,False
2009-02-03,OVV,Ovintiv Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.03127,0.08643,0.01364,0.03883,-0.18502,In-sample 2005-14,2.13913,41.10305,38.24433,0.50085,0.53834,-0.11545,-0.11920,0.06066,-0.05691,Market,94.04762,Elevated,False
2008-10-09,OXY,Occidental Petroleum,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.16040,0.25668,0.36778,0.62319,-0.07244,In-sample 2005-14,4.23739,28.86763,39.97116,0.82383,0.50557,-0.37529,-0.30045,-0.08958,0.01474,Market,100.00000,Elevated,False
2009-02-23,OXY,Occidental Petroleum,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.11299,0.07727,0.16071,0.14463,-0.03349,In-sample 2005-14,1.92424,40.18268,40.22315,0.45628,0.50669,-0.12995,-0.15010,-0.01268,0.03283,Market,96.11111,Elevated,False
2011-09-22,OXY,Occidental Petroleum,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.10303,0.19966,0.12571,-0.08056,-0.05093,In-sample 2005-14,1.15238,31.17881,41.62646,0.35850,0.37246,-0.13425,-0.03403,-0.07202,-0.02821,Sector,89.90460,Panic,False
2007-08-16,PAA,Plains All American Pipeline L.P.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.06202,-0.07984,-0.07057,-0.02841,-0.06933,In-sample 2005-14,1.73871,41.24321,63.29925,0.41517,0.14318,-0.12883,-0.02358,-0.00789,-0.09736,Specific,93.57143,Elevated,False
2007-11-21,PAA,Plains All American Pipeline L.P.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.02669,-0.00327,-0.02445,-0.01001,-0.05665,In-sample 2005-14,1.69642,31.57470,53.06649,0.28728,0.21070,-0.09096,-0.01901,0.01022,-0.08217,Specific,93.41270,Elevated,False
